Longitude,Latitude
-80.936639,29.053109
-80.894972,29.019776
-80.886639,29.003109
-80.878305,28.994776
-80.836639,28.903109
-80.519972,27.969776
-80.511639,27.936443
-80.478305,27.903109
-82.619972,27.861443
-82.619972,27.853109
-82.603305,27.844776
-80.386639,27.669776
-80.378305,27.653109
-82.703305,27.628109
-80.369972,27.586443
-82.644972,27.536443
-82.636639,27.536443
-80.244972,27.353109
-80.236639,27.353109
-80.236639,27.344776
-82.536639,27.278109
-82.444972,27.103109
-82.369972,26.969776
-82.294972,26.844776
-80.036639,26.628109
-81.969972,26.478109
-82.086639,26.444776
-81.819972,26.253109
-80.103305,26.144776
-81.711639,26.019776
-81.744972,25.961443
-81.678305,25.936443
-80.278305,25.661443
-80.328305,25.561443
-81.186639,25.544776
-81.061639,25.419776
-80.969972,25.411443
-80.961639,25.411443
-81.078305,25.361443
-80.919972,25.144776
-80.378305,25.128109
-80.494972,25.036443
-80.494972,25.028109
-80.553305,24.986443
-80.544972,24.986443
-80.611639,24.936443
-80.728305,24.853109
-80.811639,24.819776
-80.978305,24.753109
-80.986639,24.744776
-81.386639,24.728109
-81.344972,24.694776
-81.328305,24.669776
-81.386639,24.653109
-81.553305,24.611443
-81.578305,24.603109
-81.778305,24.553109
